iteration,acc
0,15.82
1,18.99
2,22.23
3,23.79
4,24.18
5,25.01
6,25.15
7,25.52
8,26.05
9,26.07
10,26.09
11,25.84
12,26.14
13,26.1
14,25.85
15,25.8
16,25.55
17,26.0
18,26.02
19,25.87
20,26.03
21,26.1
22,26.17
23,26.51
24,26.48
25,26.46
26,26.47
27,26.65
28,26.52
29,26.47
30,26.89
31,27.01
32,26.84
33,26.93
34,27.39
35,27.41
36,27.45
37,27.49
38,27.67
39,27.97
40,28.25
41,28.22
42,28.0
43,27.75
44,27.96
45,28.43
46,28.98
47,28.92
48,29.36
49,29.9
50,30.18
51,30.72
52,31.31
53,31.32
54,31.43
55,31.65
56,31.68
57,31.71
58,31.95
59,32.2
60,32.32
61,32.58
62,32.47
63,32.63
64,32.65
65,32.87
66,32.95
67,32.87
68,33.06
69,33.22
70,33.08
71,33.29
72,33.21
73,33.6
74,33.47
75,33.61
76,33.79
77,34.04
78,34.5
79,34.47
80,34.81
81,34.81
82,34.72
83,34.76
84,34.8
85,35.13
86,35.8
87,36.02
88,36.45
89,36.76
90,37.18
91,37.7
92,37.94
93,38.23
94,38.64
95,38.74
96,39.12
97,39.63
98,40.23
99,40.97
100,42.0
101,43.21
102,43.85
103,44.12
104,44.77
105,45.42
106,45.98
107,46.41
108,46.69
109,46.68
110,46.79
111,46.89
112,47.15
113,47.65
114,47.8
115,47.97
116,48.09
117,48.4
118,48.66
119,48.74
120,48.9
121,48.9
122,49.43
123,49.81
124,49.83
125,50.18
126,50.2
127,50.03
128,50.12
129,49.88
130,49.56
131,49.98
132,50.67
133,50.8
134,51.11
135,51.36
136,51.7
137,52.1
138,52.3
139,52.52
140,52.66
141,52.56
142,52.72
143,52.63
144,52.74
145,52.91
146,53.02
147,53.05
148,53.18
149,53.37
150,53.53
151,53.51
152,53.6
153,53.88
154,53.79
155,53.96
156,54.03
157,53.84
158,53.96
159,54.15
160,54.13
161,54.13
162,54.28
163,54.34
164,54.49
165,54.38
166,54.16
167,54.19
168,54.98
169,55.91
170,57.99
171,59.67
172,60.16
173,60.54
174,60.43
175,60.6
176,60.65
177,60.74
178,60.67
179,60.49
180,60.6
181,60.41
182,60.58
183,60.62
184,60.98
185,61.15
186,61.08
187,61.04
188,61.46
189,61.44
190,61.5
191,61.18
192,61.32
193,61.55
194,61.39
195,61.34
196,61.11
197,60.89
198,60.8
199,60.6
200,60.8
201,61.19
202,61.79
203,62.19
204,62.49
205,62.44
206,62.29
207,62.56
208,62.53
209,62.45
210,62.23
211,61.89
212,61.89
213,61.79
214,61.94
215,61.92
216,61.92
217,61.71
218,61.93
219,62.27
220,62.45
221,62.31
222,62.42
223,62.38
224,62.35
225,62.51
226,62.63
227,62.79
228,62.93
229,63.26
230,63.49
231,63.49
232,63.34
233,63.31
234,63.28
235,63.55
236,63.68
237,63.95
238,63.84
239,63.79
240,63.7
241,63.69
242,63.46
243,63.76
244,63.81
245,63.9
246,64.01
247,63.83
248,63.93
249,64.05
250,64.0
251,64.06
252,63.85
253,63.93
254,63.92
255,64.5
256,64.57
257,64.55
258,64.66
259,64.45
260,64.39
261,64.14
262,64.12
263,64.48
264,64.79
265,65.16
266,65.35
267,65.44
268,65.27
269,65.07
270,65.17
271,65.43
272,65.41
273,65.6
274,65.76
275,65.75
276,65.94
277,65.99
278,66.23
279,66.42
280,66.45
281,66.41
282,66.67
283,67.04
284,67.16
285,67.18
286,67.39
287,67.5
288,67.64
289,67.75
290,68.08
291,68.52
292,68.72
293,68.66
294,68.93
295,68.92
296,69.16
297,69.53
298,69.48
299,69.26
300,68.96
301,68.78
302,68.67
303,69.04
304,69.24
305,69.36
306,69.5
307,69.29
