iteration,acc
0,10.0
1,16.86
2,20.96
3,26.55
4,32.55
5,39.13
6,47.8
7,55.63
8,60.08
9,63.74
10,66.0
11,67.85
12,69.32
13,70.49
14,71.71
15,72.84
16,73.78
17,74.62
18,75.32
19,76.27
20,76.89
21,77.51
22,78.15
23,78.48
24,79.11
25,79.62
26,79.73
27,80.09
28,80.43
29,80.93
30,81.11
31,81.45
32,81.77
33,82.09
34,82.25
35,82.41
36,82.55
37,82.66
38,82.79
39,82.91
40,82.93
41,83.08
42,83.08
43,83.17
44,83.43
45,83.53
46,83.69
47,83.72
48,83.82
49,83.94
50,83.97
51,84.22
52,84.38
53,84.47
54,84.57
55,84.73
56,84.78
57,84.87
58,84.96
59,85.19
60,85.25
61,85.38
62,85.38
63,85.49
64,85.46
65,85.62
66,85.7
67,85.79
68,85.74
69,85.73
70,85.87
71,85.86
72,85.93
73,86.07
74,86.15
75,86.2
76,86.22
77,86.3
78,86.33
79,86.38
80,86.49
81,86.66
82,86.61
83,86.63
84,86.66
85,86.58
86,86.67
87,86.83
88,86.93
89,87.03
90,86.92
91,87.03
92,87.24
93,87.27
94,87.31
95,87.31
96,87.42
97,87.37
98,87.47
99,87.48
100,87.61
101,87.66
102,87.72
103,87.58
104,87.9
105,87.7
106,87.79
107,87.64
108,87.73
109,87.76
110,87.61
111,87.71
112,87.75
113,87.75
114,87.82
115,87.92
116,88.05
117,87.94
118,88.16
119,88.36
120,88.12
121,88.2
122,88.18
123,88.1
124,88.16
125,88.3
126,88.14
127,88.19
128,88.27
129,88.34
130,88.36
131,88.3
132,88.45
133,88.41
134,88.46
135,88.37
136,88.47
137,88.48
138,88.48
139,88.65
140,88.72
141,88.7
142,88.67
143,88.74
144,88.67
145,88.6
146,88.67
147,88.69
148,88.84
149,88.83
150,88.88
151,88.92
152,89.07
153,89.16
154,88.93
155,88.94
156,88.99
157,88.98
158,89.14
159,89.28
160,89.28
161,89.31
162,89.47
163,89.46
164,89.28
165,89.25
166,89.21
167,89.15
168,89.32
169,89.49
170,89.59
171,89.57
172,89.62
173,89.62
174,89.41
175,89.43
176,89.48
177,89.51
178,89.57
179,89.54
180,89.46
181,89.68
182,89.87
183,89.85
184,89.75
185,89.77
186,89.87
187,89.9
188,89.77
189,89.73
190,89.87
191,89.83
192,89.75
193,89.95
194,90.0
195,90.04
196,89.92
197,89.88
198,89.95
199,89.92
200,90.02
201,90.09
202,90.01
203,90.16
204,90.09
205,90.22
206,90.38
207,90.49
208,90.53
209,90.4
210,90.35
211,90.3
212,90.23
213,90.07
214,89.99
215,90.15
216,90.18
217,90.21
218,90.33
219,90.32
220,90.34
221,90.21
222,90.25
223,90.2
